"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4763879-<b>A</b>,"2 x 10-11",,0.37,1.09,'-,[1.02-1.16],CD69,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,12:9757568
rs4900384-<b>G</b>,"4 x 10-9",,0.29,1.09,'-,[1.02-1.16],LINC01550,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,14:98032614
rs7202877-<b>G</b>,"3 x 10-15",,0.10,1.28,'-,[1.17-1.41],"CTRB1, CTRB2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,16:75213347
rs2281808-<b>?</b>,"1 x 10-11",,0.64,1.11,'-,[1.05-1.19],SIRPG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,20:1629905
rs5753037-<b>T</b>,"3 x 10-16",,0.39,1.1,'-,[1.04-1.17],"LIF-AS1, HORMAD2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,22:30185733
rs2269241-<b>G</b>,"4 x 10-7",,0.19,1.1,'-,[1.02-1.18],PGM1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,1:63643100
rs1534422-<b>G</b>,"2 x 10-6",,0.46,1.08,'-,[1.02-1.15],MIR3681HG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,2:12500615
rs9268645-<b>?</b>,"1 x 10-100",,NR,'-,'-,'-,HLA-DRA,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,6:32440750
rs2476601-<b>?</b>,"9 x 10-85",,NR,'-,'-,'-,PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,1:113834946
rs1990760-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,IFIH1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,2:162267541
rs4505848-<b>?</b>,"5 x 10-13",,NR,'-,'-,'-,KIAA1109,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,4:122211337
rs2290400-<b>?</b>,"6 x 10-13",,0.50,1.15,'-,[1.08-1.22],GSDMB,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,17:39909987
rs3087243-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,"ICOS, CTLA4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,2:203874196
rs7804356-<b>?</b>,"5 x 10-9",,0.76,1.14,'-,[1.06-1.22],SKAP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,7:26852046
rs16956936-<b>?</b>,"5 x 10-7",,0.86,1.09,'-,[1.00-1.19],DNAH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,17:7730374
rs425105-<b>?</b>,"3 x 10-11",,0.84,1.16,'-,[1.08-1.27],PRKD2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,19:46705224
rs7221109-<b>?</b>,"1 x 10-9",,0.65,1.05,'-,[0.99-1.12],"SMARCE1, CCR7","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,17:40614034
rs2664170-<b>G</b>,"8 x 10-9",,0.32,1.16,'-,[1.07-1.24],GAB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,X:154717327
rs12444268-<b>A</b>,"2 x 10-7",,0.30,1.1,'-,[1.03-1.17],"UMOD, GP2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,16:20331250
rs11755527-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,6:90248512
rs12251307-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"RPL32P23, RBM17","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,10:6081532
rs7111341-<b>?</b>,"4 x 10-48",,NR,'-,'-,'-,"ASCL2, MIR4686","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,11:2191936
rs12708716-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,16:11086016
rs229541-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,C1QTNF6,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,22:37195278
rs10517086-<b>A</b>,"5 x 10-10",,0.30,1.09,'-,[1.02-1.17],LINC02357,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,4:26083889
rs7020673-<b>?</b>,"5 x 10-12",,0.50,1.14,'-,[1.08-1.20],GLIS3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,9:4291747
rs1465788-<b>?</b>,"2 x 10-12",,0.71,1.16,'-,[1.10-1.25],"MAGOH3P, ZFP36L1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,14:68796882
rs4788084-<b>G</b>,"3 x 10-13",,0.42,1.09,'-,[1.02-1.16],"IL27, NUPR1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,16:28528527
rs3024505-<b>G</b>,"5 x 10-10",,NR,1.2,'-,[NR],"Y_RNA, IL10","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,1:206766559
rs1990760-<b>C</b>,"2 x 10-14",,NR,1.2,'-,[NR],IFIH1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,2:162267541
rs17388568-<b>A</b>,"6 x 10-6",,NR,1.1,'-,[NR],ADAD1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,4:122408207
rs12722495-<b>A</b>,"1 x 10-38",,NR,1.61,'-,[NR],IL2RA,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,10:6055320
rs1004446-<b>G</b>,"3 x 10-23",,NR,1.4,'-,[NR],INS-IGF2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,11:2148913
rs2292239-<b>T</b>,"3 x 10-27",,NR,1.3,'-,[NR],ERBB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,12:56088396
rs12708716-<b>G</b>,"5 x 10-14",,NR,1.2,'-,[NR],CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,16:11086016
rs3788013-<b>A</b>,"1 x 10-7",,NR,1.1,'-,[NR],UBASH3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,21:42421219
rs743777-<b>G</b>,"2 x 10-6",,NR,1.1,'-,[NR],IL2RB,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,22:37155567
rs3087243-<b>A</b>,"2 x 10-17",,NR,1.2,'-,[NR],"ICOS, CTLA4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,2:203874196
rs2069762-<b>A</b>,"5 x 10-7",,NR,1.12,'-,[NR],IL2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,4:122456825
rs4788084-<b>C</b>,"1 x 10-8",,NR,1.15,'-,[NR],"IL27, NUPR1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,16:28528527
rs763361-<b>C</b>,"1 x 10-9",,NR,1.12,'-,[NR],CD226,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,18:69864406
rs2304256-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,TYK2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,19:10364976
rs2476601-<b>A</b>,"2 x 10-111",,NR,2,'-,[NR],PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,1:113834946
rs3184504-<b>T</b>,"2 x 10-38",,NR,1.3,'-,[NR],"ATXN2, SH2B3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,12:111446804
rs7171171-<b>G</b>,"2 x 10-7",,NR,'-,'-,'-,"LINC02694, RASGRP1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,15:38614840
rs11755527-<b>G</b>,"3 x 10-8",,NR,1.1,'-,[NR],BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,6:90248512
rs1701704-<b>T</b>,"5 x 10-18",,NR,1.25,'-,[NR],IKZF4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,12:56018703
rs2872507-<b>A</b>,"2 x 10-6",,NR,1.1,'-,[NR],"GSDMB, ZPBP2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,17:39884510
rs689-<b>A</b>,"5 x 10-196",,NR,'-,'-,'-,"INS-IGF2, INS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,11:2160994
rs2542151-<b>G</b>,"4 x 10-13",,NR,1.3,'-,[NR],"LINC01882, PTPN2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001191,18:12779948
rs3842727-<b>A</b>,"3 x 10-7",,0.716,1.9841269,'-,'-,"INS, TH","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type 1 diabetes mellitus","carrier status",GCST006196,11:2163618
rs73043122-<b>C</b>,"4 x 10-6",,0.013,3.351,'-,'-,"RNASET2, MIR3939","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type 1 diabetes mellitus","carrier status",GCST006196,6:166969779
rs113306148-<b>A</b>,"3 x 10-6",,0.013,3.067,'-,'-,PLEKHA1,"Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type 1 diabetes mellitus","carrier status",GCST006196,10:122400322
rs10831551-<b>C</b>,"5 x 10-6",,0.048,2.219,'-,'-,"ASCL2, MIR4686","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type 1 diabetes mellitus","carrier status",GCST006196,11:2217058
rs428595-<b>A</b>,"2 x 10-6",,0.011,3.424,'-,'-,"PPIL2, MIR130B","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type 1 diabetes mellitus","carrier status",GCST006196,22:21662102
rs689-<b>T</b>,"1 x 10-160",,0.71,2.21,'-,[2.08-2.34],"INS-IGF2, INS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,11:2160994
rs2128344-<b>A</b>,"8 x 10-12",,0.0055,2.12,'-,[1.71-2.63],LINC00320,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,21:20724226
rs60587303-<b>C</b>,"3 x 10-9",,0.0051,1.97,'-,[1.58-2.47],STK39,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,2:168190122
rs192324744-<b>G</b>,"2 x 10-11",,0.0131,1.63,'-,[1.41-1.88],LRP1B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,2:141543366
rs34536443-<b>G</b>,"2 x 10-11",,0.0515,1.45,'-,[1.31-1.62],TYK2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,19:10352442
rs2269247-<b>T</b>,"1 x 10-10",,0.18,1.17,'-,[1.12-1.23],PGM1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST010681,1:63641613
rs114631266-<b>C</b>,"2 x 10-6",,0.974,'-,"0.284 unit increase",[0.17-0.4],"OR2P1P, OR2W1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:29058810
rs2471863-<b>C</b>,"8 x 10-7",,0.526,'-,"0.057 unit increase",[0.033-0.081],"HLA-U, HLA-K","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:29931850
rs34941730-<b>G</b>,"2 x 10-9",,0.119,'-,"0.102 unit decrease",[0.069-0.135],"HLA-W, HLA-A","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:29946109
rs45626136-<b>C</b>,"1 x 10-6",,0.939,'-,"0.111 unit increase",[0.066-0.156],"RPP21, TRIM39-RPP21","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:30345252
rs116020851-<b>C</b>,"3 x 10-7",,0.971,'-,"0.182 unit increase",[0.11-0.25],"HCG21, SFTA2","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:30954755
rs1265057-<b>C</b>,"2 x 10-6",,0.491,'-,"0.053 unit decrease",[0.031-0.075],"RNU6-1133P, C6orf15","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:31110838
rs116763857-<b>G</b>,"1 x 10-14",,0.027,'-,"0.295 unit decrease",[0.22-0.37],POU5F1,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:31173705
rs9264758-<b>G</b>,"3 x 10-7",,0.866,'-,"0.082 unit increase",[0.051-0.113],RPL3P2,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:31280657
rs9501130-<b>G</b>,"2 x 10-11",,0.822,'-,"0.099 unit increase",[0.07-0.128],"HCP5, LINC01149","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:31449679
rs3093664-<b>G</b>,"3 x 10-7",,0.048,'-,"0.13 unit increase",[0.081-0.179],TNF,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:31576865
rs3134938-<b>C</b>,"8 x 10-7",,0.832,'-,"0.076 unit decrease",[0.047-0.105],"NOTCH4, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32238711
rs926592-<b>C</b>,"6 x 10-6",,0.658,'-,"0.059 unit increase",[0.034-0.084],"TSBP1-AS1, TSBP1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32337881
rs3135365-<b>C</b>,"9 x 10-6",,0.022,'-,"0.202 unit increase",[0.11-0.29],"HLA-DRA, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32421478
rs9268576-<b>C</b>,"2 x 10-8",,0.359,'-,"0.111 unit decrease",[0.072-0.15],"TSBP1-AS1, HLA-DRA","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32427864
rs7760731-<b>C</b>,"6 x 10-11",,0.642,'-,"0.087 unit increase",[0.062-0.112],"HLA-DRB1, HLA-DQA1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32615624
rs9275358-<b>G</b>,"3 x 10-7",,0.475,'-,"0.083 unit decrease",[0.052-0.114],"MTCO3P1, HLA-DQB1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32700118
rs35122968-<b>C</b>,"4 x 10-11",,0.043,'-,"0.2 unit increase",[0.14-0.26],"HLA-DQB3, MTCO3P1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32714422
rs3997848-<b>G</b>,"2 x 10-14",,0.117,'-,"0.135 unit increase",[0.1-0.17],"MTCO3P1, HLA-DQB3","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32714617
rs241427-<b>G</b>,"4 x 10-6",,0.797,'-,"0.062 unit decrease",[0.035-0.089],TAP2,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32836637
rs4148870-<b>C</b>,"2 x 10-6",,0.402,'-,"0.053 unit increase",[0.031-0.075],TAP2,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:32838614
rs3128930-<b>C</b>,"7 x 10-6",,0.683,'-,"0.053 unit increase",[0.029-0.077],"HLA-DPB2, COL11A2P1","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:33107889
rs17407280-<b>C</b>,"7 x 10-6",,0.777,'-,"0.058 unit increase",[0.033-0.083],KIF17,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,1:20693912
rs10919543-<b>G</b>,"6 x 10-6",,0.346,'-,"0.055 unit decrease",[0.031-0.079],"FCGR3A, RPS23P10","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,1:161538827
rs7524087-<b>G</b>,"8 x 10-6",,0.019,'-,"0.285 unit increase",[0.16-0.41],LINC02771,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,1:212470318
rs77155259-<b>G</b>,"2 x 10-6",,0.944,'-,"0.142 unit increase",[0.083-0.201],SLC4A10,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,2:161647730
rs111821448-<b>C</b>,"5 x 10-6",,0.972,'-,"0.164 unit increase",[0.093-0.235],PHLDB2,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,3:111874722
rs139881548-<b>C</b>,"7 x 10-6",,0.984,'-,"0.222 unit increase",[0.13-0.32],GABRA2,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,4:46372280
rs34740712-<b>C</b>,"5 x 10-6",,0.104,'-,"0.088 unit decrease",[0.051-0.125],TLL1,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,4:165916328
rs4513644-<b>T</b>,"8 x 10-7",,0.794,'-,"0.067 unit increase",[0.04-0.094],LINC02225,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,5:57837318
rs78824139-<b>C</b>,"9 x 10-6",,0.986,'-,"0.294 unit increase",[0.16-0.42],EYS,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,6:64748694
rs6461299-<b>C</b>,"2 x 10-6",,0.422,'-,"0.078 unit decrease",[0.047-0.109],AHR,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,7:17147155
rs10255565-<b>C</b>,"1 x 10-6",,0.154,'-,"0.086 unit decrease",[0.051-0.121],HECW1,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,7:43408191
rs35766765-<b>G</b>,"3 x 10-6",,0.092,'-,"0.091 unit decrease",[0.054-0.128],PHF20L1,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,8:132775726
